company,composite_score,emergence_boost,latest_insider_date,latest_price_date,leadership_score,note,person,role,tenure_start,ticker,top_drivers,trajectory_score,why_watch
ESTA,0.7317383571207142,0.002314814814814825,2025-10-13,2025-10-15,0.731391134898492,"ESTA — ESTA | P(s)=0.73, Emerg=0.002. Tenure start 2024-04-27. Freshness: price 2025-10-15, insider 2025-10-13.",Fillipo “Peter” Caldini,CEO,2024-04-27,ESTA,"['pre_3m_return ↑ (val=0.151)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.009357559053737103,"P(success)=0.73. Signals: pre_3m_return ↑ (val=0.151), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.002 (newness=0.01, insider=0.00). Sector=Unknown."
BBAI,0.7314886512330113,0.013425925925925924,2025-10-13,2025-10-15,0.7294747623441225,"BBAI — BBAI | P(s)=0.73, Emerg=0.013. Tenure start 2024-05-21. Freshness: price 2025-10-15, insider 2025-10-13.",Kevin McAleenan,CEO,2024-05-21,BBAI,"['pre_3m_return ↑ (val=0.148)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.009068517728333265,"P(success)=0.73. Signals: pre_3m_return ↑ (val=0.148), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.013 (newness=0.05, insider=0.00). Sector=Unknown."
PLNT,0.703988105426677,0.020833333333333343,2025-10-13,2025-10-15,0.700863105426677,"PLNT — PLNT | P(s)=0.70, Emerg=0.021. Tenure start 2024-06-06. Freshness: price 2025-10-15, insider 2025-10-13.",Colleen Keating,CEO,2024-06-06,PLNT,"['pre_3m_return ↑ (val=0.134)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.00786953351780867,"P(success)=0.70. Signals: pre_3m_return ↑ (val=0.134), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.021 (newness=0.08, insider=0.00). Sector=Unknown."
RKDA,0.6623050168449315,0.17962962962962964,2025-10-13,2025-10-15,0.635360572400487,"RKDA — RKDA | P(s)=0.64, Emerg=0.180. Tenure start 2025-05-15. Freshness: price 2025-10-15, insider 2025-10-13.",Thomas J Schaefer,CEO,2025-05-15,RKDA,"['pre_3m_return ↑ (val=0.082)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.003107904611939958,"P(success)=0.64. Signals: pre_3m_return ↑ (val=0.082), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.180 (newness=0.72, insider=0.00). Sector=Unknown."
ALGT,0.6621808345328543,0.12962962962962965,2025-10-13,2025-10-15,0.6427363900884098,"ALGT — ALGT | P(s)=0.64, Emerg=0.130. Tenure start 2025-01-27. Freshness: price 2025-10-15, insider 2025-10-13.",Gregory Clark Anderson,CEO,2025-01-27,ALGT,"['pre_3m_return ↑ (val=0.093)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.0041190594095455065,"P(success)=0.64. Signals: pre_3m_return ↑ (val=0.093), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.130 (newness=0.52, insider=0.00). Sector=Unknown."
NRG,0.6613264785471881,0.036574074074074064,2025-10-13,2025-10-15,0.655840367436077,"NRG — NRG | P(s)=0.66, Emerg=0.037. Tenure start 2024-07-10. Freshness: price 2025-10-15, insider 2025-10-13.",Lawrence S Coben,CEO,2024-07-10,NRG,"['pre_3m_return ↑ (val=0.114)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.006044512572628561,"P(success)=0.66. Signals: pre_3m_return ↑ (val=0.114), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.037 (newness=0.15, insider=0.00). Sector=Unknown."
"LIF, NTGR",0.6595025615257335,0.1625,2025-10-13,2025-10-15,0.6351275615257335,"LIF — LIF, NTGR | P(s)=0.64, Emerg=0.163. Tenure start 2025-04-08. Freshness: price 2025-10-15, insider 2025-10-13.",Charles J Prober,Director,2025-04-08,LIF,"['pre_3m_return ↑ (val=0.085)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.0033666220449610636,"P(success)=0.64. Signals: pre_3m_return ↑ (val=0.085), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.163 (newness=0.65, insider=0.00). Sector=Unknown."
WLDN,0.6580275048058896,0.1,2025-10-13,2025-10-15,0.6430275048058895,"WLDN — WLDN | P(s)=0.64, Emerg=0.100. Tenure start 2024-11-24. Freshness: price 2025-10-15, insider 2025-10-13.",Michael A Bieber,CEO,2024-11-24,WLDN,"['pre_3m_return ↑ (val=0.098)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.004597500099084196,"P(success)=0.64. Signals: pre_3m_return ↑ (val=0.098), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.100 (newness=0.40, insider=0.00). Sector=Unknown."
NRIM,0.657253689362722,0.13842592592592592,2025-10-13,2025-10-15,0.6364898004738331,"NRIM — NRIM | P(s)=0.64, Emerg=0.138. Tenure start 2025-02-15. Freshness: price 2025-10-15, insider 2025-10-13.",Michael G Huston,CEO,2025-02-15,NRIM,"['pre_3m_return ↑ (val=0.089)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.003784734413039184,"P(success)=0.64. Signals: pre_3m_return ↑ (val=0.089), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.138 (newness=0.55, insider=0.00). Sector=Unknown."
AXGN,0.6500724950162275,0.040740740740740744,2025-10-13,2025-10-15,0.6439613839051165,"AXGN — AXGN | P(s)=0.64, Emerg=0.041. Tenure start 2024-07-19. Freshness: price 2025-10-15, insider 2025-10-13.",Michael D Dale,CEO,2024-07-19,AXGN,"['pre_3m_return ↑ (val=0.109)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.005583795837470573,"P(success)=0.64. Signals: pre_3m_return ↑ (val=0.109), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.041 (newness=0.16, insider=0.00). Sector=Unknown."
"CBZ, TECTP",0.6285270036163437,0.09351851851851853,2025-10-13,2025-10-15,0.614499225838566,"CBZ — CBZ, TECTP | P(s)=0.61, Emerg=0.094. Tenure start 2024-11-10. Freshness: price 2025-10-15, insider 2025-10-13.",A Haag Sherman,Director,2024-11-10,CBZ,"['pre_3m_return ↑ (val=0.090)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.0037992372795808502,"P(success)=0.61. Signals: pre_3m_return ↑ (val=0.090), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.094 (newness=0.37, insider=0.00). Sector=Unknown."
SWKS,0.6125448560718832,0.033333333333333326,2025-10-13,2025-10-15,0.6075448560718832,"SWKS — SWKS | P(s)=0.61, Emerg=0.033. Tenure start 2024-07-03. Freshness: price 2025-10-15, insider 2025-10-13.",Philip G Brace,CEO,2024-07-03,SWKS,"['pre_3m_return ↑ (val=0.098)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.004529108112232827,"P(success)=0.61. Signals: pre_3m_return ↑ (val=0.098), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.033 (newness=0.13, insider=0.00). Sector=Unknown."
AREN,0.6067093255210811,0.11527777777777778,2025-10-13,2025-10-15,0.5894176588544144,"AREN — AREN | P(s)=0.59, Emerg=0.115. Tenure start 2024-12-27. Freshness: price 2025-10-15, insider 2025-10-13.",Paul Taylor Edmondson,CEO,2024-12-27,AREN,"['pre_3m_return ↑ (val=0.077)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.002682077405680017,"P(success)=0.59. Signals: pre_3m_return ↑ (val=0.077), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.115 (newness=0.46, insider=0.00). Sector=Unknown."
Unknown Company,0.6066064708944301,0.09953703703703703,2025-10-13,2025-10-15,0.5916759153388745,"UNKN123 — Unknown Company | P(s)=0.59, Emerg=0.100. Tenure start 2024-11-23. Freshness: price 2025-10-15, insider 2025-10-13.",Srinivas Rao,Director,2024-11-23,UNKN123,"['pre_3m_return ↑ (val=0.081)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.002995183889704382,"P(success)=0.59. Signals: pre_3m_return ↑ (val=0.081), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.100 (newness=0.40, insider=0.00). Sector=Unknown."
PLOW,0.6048871758760614,0.1074074074074074,2025-10-13,2025-10-15,0.5887760647649504,"PLOW — PLOW | P(s)=0.59, Emerg=0.107. Tenure start 2024-12-10. Freshness: price 2025-10-15, insider 2025-10-13.",Mark Van Genderen,CEO,2024-12-10,PLOW,"['pre_3m_return ↑ (val=0.078)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.002783790828101487,"P(success)=0.59. Signals: pre_3m_return ↑ (val=0.078), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.107 (newness=0.43, insider=0.00). Sector=Unknown."
BLFS,0.5954426145284061,0.04351851851851851,2025-10-13,2025-10-15,0.5889148367506283,"BLFS — BLFS | P(s)=0.59, Emerg=0.044. Tenure start 2024-07-25. Freshness: price 2025-10-15, insider 2025-10-13.",Roderick De Greef,CEO,2024-07-25,BLFS,"['pre_3m_return ↑ (val=0.089)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.003780937770035725,"P(success)=0.59. Signals: pre_3m_return ↑ (val=0.089), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.044 (newness=0.17, insider=0.00). Sector=Unknown."
TECTP,0.5919888631127452,0.08055555555555555,2025-10-13,2025-10-15,0.5799055297794119,"TECTP — TECTP | P(s)=0.58, Emerg=0.081. Tenure start 2024-10-13. Freshness: price 2025-10-15, insider 2025-10-13.",A Haag Sherman,CEO,2024-10-13,TECTP,"['pre_3m_return ↑ (val=0.080)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.00292462909650035,"P(success)=0.58. Signals: pre_3m_return ↑ (val=0.080), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.081 (newness=0.32, insider=0.00). Sector=Unknown."
NGS,0.5866691681694619,0.05833333333333332,2025-10-13,2025-10-15,0.5779191681694619,"NGS — NGS | P(s)=0.58, Emerg=0.058. Tenure start 2024-08-26. Freshness: price 2025-10-15, insider 2025-10-13.",Justin Jacobs,CEO,2024-08-26,NGS,"['pre_3m_return ↑ (val=0.083)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.0032073779432759647,"P(success)=0.58. Signals: pre_3m_return ↑ (val=0.083), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.058 (newness=0.23, insider=0.00). Sector=Unknown."
CVS,0.5771076477823909,0.19814814814814816,2025-10-13,2025-10-15,0.5473854255601687,"CVS — CVS | P(s)=0.55, Emerg=0.198. Tenure start 2025-06-24. Freshness: price 2025-10-15, insider 2025-10-13.",J David Joyner,CEO,2025-06-24,CVS,"['pre_3m_return ↑ (val=0.049)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.00010893077223148407,"P(success)=0.55. Signals: pre_3m_return ↑ (val=0.049), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.198 (newness=0.79, insider=0.00). Sector=Unknown."
TWLO,0.5520492390865961,0.17916666666666667,2025-10-13,2025-10-15,0.5251742390865961,"TWLO — TWLO | P(s)=0.53, Emerg=0.179. Tenure start 2025-05-14. Freshness: price 2025-10-15, insider 2025-10-13.",Khozema Shipchandler,CEO,2025-05-14,TWLO,"['pre_3m_return ↑ (val=0.045)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",-0.000287513948352888,"P(success)=0.53. Signals: pre_3m_return ↑ (val=0.045), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.179 (newness=0.72, insider=0.00). Sector=Unknown."
UGI Corporation,0.5316600756324051,0.10324074074074074,2025-10-13,2025-10-15,0.516173964521294,"UGI — UGI Corporation | P(s)=0.52, Emerg=0.103. Tenure start 2024-12-01. Freshness: price 2025-10-15, insider 2025-10-13.",Robert C Flexon,CEO,2024-12-01,UGI,"['pre_3m_return ↑ (val=0.055)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.0006121501632765754,"P(success)=0.52. Signals: pre_3m_return ↑ (val=0.055), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.103 (newness=0.41, insider=0.00). Sector=Energy."
Unknown Company,0.5311492451293036,0.14907407407407408,2025-10-13,2025-10-15,0.5087881340181925,"UNKN101 — Unknown Company | P(s)=0.51, Emerg=0.149. Tenure start 2025-03-10. Freshness: price 2025-10-15, insider 2025-10-13.",Patrick James Venetucci,Director,2025-03-10,UNKN101,"['pre_3m_return ↑ (val=0.044)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",-0.00032941503634669985,"P(success)=0.51. Signals: pre_3m_return ↑ (val=0.044), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.149 (newness=0.60, insider=0.00). Sector=Unknown."
Unknown Company,0.5065956735722434,0.025925925925925936,2025-10-13,2025-10-15,0.5027067846833545,"UNKN037 — Unknown Company | P(s)=0.50, Emerg=0.026. Tenure start 2024-06-17. Freshness: price 2025-10-15, insider 2025-10-13.",Gregory Clark Anderson,CFO,2024-06-17,UNKN037,"['pre_3m_return ↑ (val=0.063)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.0013883878945494595,"P(success)=0.50. Signals: pre_3m_return ↑ (val=0.063), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.026 (newness=0.10, insider=0.00). Sector=Unknown."
Dollar Tree,0.49707918020354475,0.10370370370370371,2025-10-13,2025-10-15,0.4815236246479892,"DLTR — Dollar Tree | P(s)=0.48, Emerg=0.104. Tenure start 2024-12-02. Freshness: price 2025-10-15, insider 2025-10-13.",Michael C Creedon Jr,CEO,2024-12-02,DLTR,"['pre_3m_return ↑ (val=0.043)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",-0.00047285945869522233,"P(success)=0.48. Signals: pre_3m_return ↑ (val=0.043), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.104 (newness=0.41, insider=0.00). Sector=Consumer."
GDOT,0.4923549930911475,0.07314814814814816,2025-10-13,2025-10-15,0.4813827708689253,"GDOT — GDOT | P(s)=0.48, Emerg=0.073. Tenure start 2024-09-27. Freshness: price 2025-10-15, insider 2025-10-13.",William I Jacobs,CEO,2024-09-27,GDOT,"['pre_3m_return ↑ (val=0.048)', 'cap_alloc_buyback_rate ↑ (val=0.000)', 'cap_alloc_dilution_rate ↑ (val=0.000)']",0.0,"P(success)=0.48. Signals: pre_3m_return ↑ (val=0.048), cap_alloc_buyback_rate ↑ (val=0.000), cap_alloc_dilution_rate ↑ (val=0.000). Emergence=0.073 (newness=0.29, insider=0.00). Sector=Unknown."
